Organ zgłaszający;Usługa pobierania ▴
Starosta Suski;https://powiatsuski.geoportal2.pl/map/geoportal/wfs.php
Starosta Sokólski;https://powiatsokolski.geoportal2.pl/map/geoportal/wfse.php
Starosta Siedlecki;https://powiatsiedlecki.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Rzeszowskiego;https://powiatrzeszowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Radzyński;https://powiatradzynski.geoportal2.pl/map/geoportal/wfs.php
Starosta Pułtuski;https://powiatpultuski.geoportal2.pl/map/geoportal/wfs.php
Starosta Piski;https://powiatpiski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Olsztyńskiego;https://powiatolsztynski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Nidzickiego;https://powiatnidzicki.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Mławskiego;https://powiatmlawski.geoportal2.pl/map/geoportal/wfs.php
Starosta Łukowski;https://powiatlukowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Lubelskiego;https://powiatlubelski.geoportal2.pl/map/geoportal/wfs.php
Starosta Lubartowski;https://powiatlubartowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Lipski;https://powiatlipsko.geoportal2.pl/map/geoportal/wfs.php
Starosta Lidzbarski;https://powiatlidzbarski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Kutnowskiego;https://powiatkutno.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Krasnostawskiego;https://powiatkrasnostawski.geoportal2.pl/map/geoportal/wfs.php
Starosta Kłobucki;https://powiatklobucki.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Kętrzyńskiego;https://powiatketrzynski.geoportal2.pl/map/geoportal/wfs.php
Starosta Gorzowski;https://powiatgorzowski.geoportal2.pl/map/geoportal/wfse.php
Starosta Gołdapski;https://powiatgoldap.geoportal2.pl/map/geoportal/wfs.php
Starosta Ełcki;https://powiatelk.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Działdowskiego;https://powiatdzialdowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Bialskiego;https://powiatbialski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Bartoszyckiego;https://powiatbartoszyce.geoportal2.pl/map/geoportal/wfs.php
Starosta Tomaszowski;https://powiat-tomaszowski.geoportal2.pl/map/geoportal/wfs.php
